"tick","Remaining Humans","Remaining Zombies"
1.0,50,5
2.0,50,5
3.0,50,5
4.0,50,5
5.0,49,6
6.0,49,6
7.0,48,7
8.0,47,8
9.0,47,8
10.0,47,8
11.0,47,8
12.0,45,10
13.0,45,10
14.0,45,10
15.0,45,10
16.0,44,11
17.0,42,13
18.0,42,13
19.0,42,13
20.0,42,13
21.0,42,13
22.0,42,13
23.0,42,13
24.0,40,15
25.0,38,17
26.0,38,17
27.0,38,17
28.0,37,18
29.0,37,18
30.0,34,21
31.0,33,22
32.0,33,22
33.0,33,22
34.0,32,23
35.0,30,25
36.0,30,25
37.0,30,25
38.0,29,26
39.0,28,27
40.0,27,28
41.0,27,28
42.0,26,29
43.0,26,29
44.0,26,29
45.0,26,29
46.0,26,29
47.0,26,29
48.0,24,31
49.0,23,32
50.0,22,33
51.0,21,34
52.0,20,35
53.0,20,35
54.0,20,35
55.0,19,36
56.0,17,38
57.0,16,39
58.0,15,40
59.0,15,40
60.0,14,41
61.0,13,42
62.0,13,42
63.0,13,42
64.0,12,43
65.0,12,43
66.0,11,44
67.0,11,44
68.0,10,45
69.0,10,45
70.0,10,45
71.0,9,46
72.0,7,48
73.0,7,48
74.0,6,49
75.0,4,51
76.0,4,51
77.0,4,51
78.0,4,51
79.0,4,51
80.0,4,51
81.0,3,52
82.0,3,52
83.0,3,52
84.0,3,52
85.0,3,52
86.0,2,53
87.0,2,53
88.0,2,53
89.0,2,53
90.0,2,53
91.0,2,53
92.0,1,54
93.0,1,54
94.0,1,54
95.0,1,54
96.0,1,54
97.0,1,54
98.0,1,54
99.0,1,54
100.0,1,54
101.0,1,54
102.0,1,54
103.0,1,54
104.0,1,54
105.0,1,54
106.0,1,54
107.0,1,54
108.0,1,54
109.0,1,54
110.0,1,54
111.0,1,54
112.0,1,54
113.0,1,54
114.0,1,54
115.0,1,54
116.0,1,54
117.0,1,54
118.0,1,54
119.0,1,54
120.0,1,54
121.0,1,54
122.0,1,54
123.0,1,54
124.0,1,54
125.0,1,54
126.0,1,54
127.0,1,54
128.0,1,54
129.0,1,54
130.0,1,54
131.0,1,54
132.0,1,54
133.0,1,54
134.0,1,54
135.0,1,54
136.0,1,54
137.0,1,54
138.0,1,54
139.0,1,54
140.0,1,54
141.0,1,54
142.0,1,54
143.0,1,54
144.0,1,54
145.0,1,54
146.0,1,54
147.0,0,55
148.0,0,55
149.0,0,55
150.0,0,55
151.0,0,55
152.0,0,55
153.0,0,55
154.0,0,55
155.0,0,55
156.0,0,55
157.0,0,55
158.0,0,55
159.0,0,55
160.0,0,55
161.0,0,55
162.0,0,55
163.0,0,55
164.0,0,55
165.0,0,55
166.0,0,55
167.0,0,55
168.0,0,55
169.0,0,55
170.0,0,55
171.0,0,55
172.0,0,55
173.0,0,55
174.0,0,55
175.0,0,55
176.0,0,55
177.0,0,55
178.0,0,55
179.0,0,55
180.0,0,55
181.0,0,55
182.0,0,55
183.0,0,55
184.0,0,55
185.0,0,55
186.0,0,55
187.0,0,55
188.0,0,55
189.0,0,55
190.0,0,55
191.0,0,55
192.0,0,55
193.0,0,55
194.0,0,55
195.0,0,55
196.0,0,55
197.0,0,55
198.0,0,55
199.0,0,55
200.0,0,55
201.0,0,55
202.0,0,55
203.0,0,55
204.0,0,55
205.0,0,55
206.0,0,55
207.0,0,55
208.0,0,55
209.0,0,55
210.0,0,55
211.0,0,55
212.0,0,55
213.0,0,55
214.0,0,55
215.0,0,55
216.0,0,55
217.0,0,55
218.0,0,55
219.0,0,55
220.0,0,55
221.0,0,55
222.0,0,55
223.0,0,55
224.0,0,55
225.0,0,55
226.0,0,55
227.0,0,55
228.0,0,55
229.0,0,55
230.0,0,55
231.0,0,55
232.0,0,55
233.0,0,55
234.0,0,55
235.0,0,55
236.0,0,55
237.0,0,55
238.0,0,55
239.0,0,55
240.0,0,55
241.0,0,55
242.0,0,55
243.0,0,55
244.0,0,55
245.0,0,55
246.0,0,55
247.0,0,55
248.0,0,55
249.0,0,55
250.0,0,55
251.0,0,55
252.0,0,55
253.0,0,55
254.0,0,55
255.0,0,55
256.0,0,55
257.0,0,55
258.0,0,55
259.0,0,55
260.0,0,55
261.0,0,55
262.0,0,55
263.0,0,55
264.0,0,55
265.0,0,55
266.0,0,55
267.0,0,55
268.0,0,55
269.0,0,55
270.0,0,55
271.0,0,55
272.0,0,55
273.0,0,55
274.0,0,55
275.0,0,55
276.0,0,55
277.0,0,55
278.0,0,55
279.0,0,55
280.0,0,55
281.0,0,55
282.0,0,55
283.0,0,55
284.0,0,55
285.0,0,55
286.0,0,55
287.0,0,55
288.0,0,55
289.0,0,55
290.0,0,55
291.0,0,55
292.0,0,55
293.0,0,55
294.0,0,55
295.0,0,55
296.0,0,55
297.0,0,55
298.0,0,55
299.0,0,55
300.0,0,55
301.0,0,55
302.0,0,55
303.0,0,55
304.0,0,55
305.0,0,55
306.0,0,55
307.0,0,55
308.0,0,55
309.0,0,55
310.0,0,55
311.0,0,55
312.0,0,55
313.0,0,55
314.0,0,55
315.0,0,55
316.0,0,55
317.0,0,55
318.0,0,55
319.0,0,55
