"tick","Remaining Humans","Remaining Zombies"
278.0,0,55
279.0,0,55
280.0,0,55
281.0,0,55
282.0,0,55
283.0,0,55
284.0,0,55
285.0,0,55
286.0,0,55
287.0,0,55
288.0,0,55
289.0,0,55
290.0,0,55
291.0,0,55
292.0,0,55
293.0,0,55
294.0,0,55
295.0,0,55
296.0,0,55
297.0,0,55
298.0,0,55
299.0,0,55
300.0,0,55
301.0,0,55
302.0,0,55
303.0,0,55
304.0,0,55
305.0,0,55
306.0,0,55
307.0,0,55
308.0,0,55
309.0,0,55
310.0,0,55
311.0,0,55
312.0,0,55
313.0,0,55
314.0,0,55
315.0,0,55
316.0,0,55
317.0,0,55
318.0,0,55
319.0,0,55
320.0,0,55
321.0,0,55
322.0,0,55
323.0,0,55
324.0,0,55
325.0,0,55
326.0,0,55
327.0,0,55
328.0,0,55
329.0,0,55
330.0,0,55
331.0,0,55
332.0,0,55
333.0,0,55
334.0,0,55
335.0,0,55
336.0,0,55
337.0,0,55
338.0,0,55
339.0,0,55
340.0,0,55
341.0,0,55
342.0,0,55
343.0,0,55
344.0,0,55
345.0,0,55
346.0,0,55
347.0,0,55
348.0,0,55
349.0,0,55
350.0,0,55
351.0,0,55
352.0,0,55
353.0,0,55
354.0,0,55
355.0,0,55
356.0,0,55
357.0,0,55
358.0,0,55
359.0,0,55
360.0,0,55
361.0,0,55
362.0,0,55
363.0,0,55
364.0,0,55
365.0,0,55
366.0,0,55
367.0,0,55
368.0,0,55
369.0,0,55
370.0,0,55
371.0,0,55
372.0,0,55
373.0,0,55
374.0,0,55
375.0,0,55
376.0,0,55
377.0,0,55
378.0,0,55
379.0,0,55
380.0,0,55
381.0,0,55
382.0,0,55
383.0,0,55
384.0,0,55
385.0,0,55
386.0,0,55
387.0,0,55
388.0,0,55
389.0,0,55
390.0,0,55
391.0,0,55
392.0,0,55
393.0,0,55
394.0,0,55
395.0,0,55
396.0,0,55
397.0,0,55
398.0,0,55
399.0,0,55
400.0,0,55
401.0,0,55
402.0,0,55
403.0,0,55
404.0,0,55
405.0,0,55
406.0,0,55
407.0,0,55
408.0,0,55
409.0,0,55
410.0,0,55
411.0,0,55
412.0,0,55
413.0,0,55
414.0,0,55
415.0,0,55
416.0,0,55
417.0,0,55
418.0,0,55
419.0,0,55
420.0,0,55
421.0,0,55
422.0,0,55
423.0,0,55
424.0,0,55
425.0,0,55
426.0,0,55
427.0,0,55
428.0,0,55
429.0,0,55
430.0,0,55
431.0,0,55
432.0,0,55
433.0,0,55
434.0,0,55
435.0,0,55
436.0,0,55
437.0,0,55
438.0,0,55
439.0,0,55
440.0,0,55
441.0,0,55
442.0,0,55
443.0,0,55
444.0,0,55
445.0,0,55
446.0,0,55
447.0,0,55
448.0,0,55
449.0,0,55
450.0,0,55
451.0,0,55
452.0,0,55
453.0,0,55
454.0,0,55
455.0,0,55
456.0,0,55
457.0,0,55
458.0,0,55
459.0,0,55
460.0,0,55
461.0,0,55
462.0,0,55
463.0,0,55
464.0,0,55
465.0,0,55
466.0,0,55
467.0,0,55
468.0,0,55
469.0,0,55
470.0,0,55
471.0,0,55
472.0,0,55
473.0,0,55
474.0,0,55
475.0,0,55
476.0,0,55
477.0,0,55
478.0,0,55
479.0,0,55
480.0,0,55
481.0,0,55
482.0,0,55
483.0,0,55
484.0,0,55
485.0,0,55
486.0,0,55
487.0,0,55
488.0,0,55
489.0,0,55
490.0,0,55
491.0,0,55
492.0,0,55
493.0,0,55
494.0,0,55
495.0,0,55
496.0,0,55
497.0,0,55
498.0,0,55
499.0,0,55
500.0,0,55
501.0,0,55
502.0,0,55
503.0,0,55
504.0,0,55
505.0,0,55
506.0,0,55
507.0,0,55
508.0,0,55
509.0,0,55
510.0,0,55
511.0,0,55
512.0,0,55
513.0,0,55
514.0,0,55
515.0,0,55
516.0,0,55
517.0,0,55
518.0,0,55
519.0,0,55
520.0,0,55
521.0,0,55
522.0,0,55
523.0,0,55
524.0,0,55
525.0,0,55
526.0,0,55
527.0,0,55
528.0,0,55
529.0,0,55
530.0,0,55
531.0,0,55
532.0,0,55
533.0,0,55
534.0,0,55
535.0,0,55
536.0,0,55
537.0,0,55
538.0,0,55
539.0,0,55
540.0,0,55
541.0,0,55
542.0,0,55
543.0,0,55
544.0,0,55
545.0,0,55
546.0,0,55
547.0,0,55
548.0,0,55
549.0,0,55
550.0,0,55
551.0,0,55
552.0,0,55
553.0,0,55
554.0,0,55
555.0,0,55
556.0,0,55
557.0,0,55
558.0,0,55
559.0,0,55
560.0,0,55
561.0,0,55
562.0,0,55
563.0,0,55
564.0,0,55
565.0,0,55
566.0,0,55
567.0,0,55
